epoch,eval_acc,eval_auc,eval_auc_attr0_group0,eval_auc_attr0_group1,eval_auc_attr0_group2,eval_auc_attr0_max_group_disparity,eval_auc_attr0_std_group_disparity,eval_auc_attr1_group0,eval_auc_attr1_group1,eval_auc_attr1_max_group_disparity,eval_auc_attr1_std_group_disparity,eval_auc_attr2_group0,eval_auc_attr2_group1,eval_auc_attr2_max_group_disparity,eval_auc_attr2_std_group_disparity,eval_auc_attr3_group0,eval_auc_attr3_group1,eval_auc_attr3_group2,eval_auc_attr3_max_group_disparity,eval_auc_attr3_std_group_disparity,eval_dpd_attr0,eval_dpd_attr1,eval_dpd_attr2,eval_dpd_attr3,eval_eod_attr0,eval_eod_attr1,eval_eod_attr2,eval_eod_attr3,eval_es_acc_attr0,eval_es_acc_attr1,eval_es_acc_attr2,eval_es_acc_attr3,eval_es_auc_attr0,eval_es_auc_attr1,eval_es_auc_attr2,eval_es_auc_attr3,eval_loss,trn_loss
44,0.5457,0.57,0.5323,0.6234,0.592,0.16,0.0664,0.5664,0.5725,0.0108,0.0054,0.5747,0.5023,0.1271,0.0636,0.5788,0.6095,0.595,0.0538,0.022,0.2433,0.0543,0.1991,0.2518,0.2984,0.0767,0.2233,0.2838,0.4513,0.5391,0.4922,0.3886,0.512,0.5665,0.5315,0.5309,0.6882,0.699
45,0.5074,0.6328,0.6836,0.6735,0.6221,0.0972,0.0425,0.601,0.6791,0.1233,0.0617,0.6277,0.7919,0.2595,0.1297,0.6351,0.8381,0.4025,0.6883,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.5742,0.587,0.5436,0.4401,0.6948,0.6931
46,0.5074,0.6677,0.6303,0.6747,0.6792,0.0732,0.033,0.6463,0.6968,0.0757,0.0379,0.6684,0.7127,0.0663,0.0331,0.6737,0.6381,0.4925,0.2714,0.1174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.6324,0.6356,0.6386,0.5514,0.7652,0.6851
47,0.5426,0.6184,0.6365,0.6228,0.6171,0.0313,0.0131,0.6082,0.6365,0.0458,0.0229,0.6243,0.5792,0.073,0.0365,0.6257,0.6095,0.4175,0.3366,0.1529,0.0516,0.0135,0.0492,0.0091,0.1131,0.0201,0.0983,0.0609,0.422,0.5297,0.4871,0.3892,0.604,0.6014,0.5917,0.5081,0.6947,0.6938
48,0.5074,0.6739,0.6576,0.7419,0.6646,0.1251,0.0567,0.6656,0.6875,0.0324,0.0162,0.6713,0.8303,0.2359,0.118,0.6739,0.7429,0.57,0.2565,0.1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.6162,0.6595,0.5815,0.5746,0.6737,0.6913
49,0.617,0.6617,0.6911,0.6569,0.665,0.0517,0.022,0.6513,0.6768,0.0386,0.0193,0.6571,0.7443,0.1319,0.0659,0.6663,0.8095,0.455,0.5358,0.2201,0.1541,0.0626,0.0364,0.1287,0.1406,0.0976,0.2363,0.4143,0.5735,0.5903,0.533,0.4847,0.6377,0.6452,0.6086,0.4868,0.6604,0.6944
50,0.6287,0.6592,0.6588,0.6595,0.6605,0.0026,0.0011,0.6513,0.6738,0.0341,0.0171,0.6543,0.7805,0.1916,0.0958,0.6598,0.7429,0.5275,0.3267,0.1345,0.0695,0.046,0.1348,0.1945,0.089,0.0721,0.3235,0.3143,0.6105,0.6209,0.5609,0.5565,0.6579,0.6447,0.5853,0.5421,0.6778,0.6882
51,0.5074,0.6596,0.6464,0.6723,0.6596,0.0392,0.016,0.6475,0.6788,0.0475,0.0238,0.6552,0.7489,0.1419,0.071,0.6611,0.6571,0.525,0.2063,0.0959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.643,0.6396,0.6032,0.5793,0.7579,0.6841
52,0.6202,0.6649,0.6067,0.6889,0.6644,0.1236,0.0518,0.6565,0.6778,0.032,0.016,0.6638,0.7285,0.0973,0.0486,0.6745,0.619,0.3825,0.4391,0.1904,0.0916,0.0367,0.1299,0.1031,0.0793,0.0559,0.1951,0.2826,0.5684,0.6141,0.6153,0.5671,0.6141,0.651,0.6245,0.497,0.6516,0.6878
53,0.5128,0.6521,0.6563,0.6627,0.6481,0.0224,0.0092,0.6345,0.6788,0.0679,0.034,0.6483,0.7104,0.0952,0.0476,0.6503,0.6286,0.58,0.1077,0.045,0.081,0.0021,0.0057,0.03,0.1342,0.0164,0.011,0.1,0.4029,0.5092,0.4576,0.3422,0.6401,0.6245,0.614,0.5942,0.7851,0.6908
54,0.617,0.6663,0.6514,0.6971,0.6574,0.0686,0.0304,0.6597,0.6823,0.0338,0.0169,0.6624,0.724,0.0924,0.0462,0.664,0.6762,0.585,0.1369,0.0607,0.1825,0.0385,0.1071,0.1291,0.2034,0.0445,0.2102,0.1714,0.5449,0.6132,0.582,0.5679,0.6318,0.6516,0.6277,0.6094,0.6576,0.6788
55,0.5298,0.6582,0.6551,0.7269,0.6376,0.1356,0.0587,0.6366,0.6926,0.0851,0.0426,0.659,0.6493,0.0148,0.0074,0.6651,0.5143,0.47,0.2964,0.1269,0.096,0.006,0.014,0.0368,0.1719,0.0232,0.0263,0.1109,0.414,0.5288,0.4804,0.3675,0.6025,0.6232,0.6518,0.4915,0.7358,0.6783
56,0.5223,0.6733,0.629,0.6851,0.6825,0.0832,0.0384,0.6674,0.684,0.0247,0.0124,0.6722,0.7285,0.0836,0.0418,0.6788,0.6476,0.555,0.1838,0.0781,0.0767,0.0103,0.0086,0.0231,0.1858,0.0148,0.0316,0.2,0.3852,0.5124,0.4809,0.3648,0.6321,0.6623,0.6374,0.5858,0.8647,0.6862
57,0.5383,0.6607,0.7171,0.6691,0.6642,0.0801,0.0361,0.6356,0.6953,0.0904,0.0452,0.6648,0.6154,0.0748,0.0374,0.662,0.5333,0.67,0.2068,0.0948,0.0194,0.0048,0.0303,0.0541,0.0316,0.0163,0.0485,0.0907,0.432,0.5221,0.4783,0.3493,0.6185,0.6235,0.6296,0.5806,0.702,0.6831
58,0.5957,0.6757,0.6613,0.6914,0.6814,0.0445,0.0185,0.6621,0.6971,0.0519,0.0259,0.6754,0.7036,0.0418,0.0209,0.682,0.6,0.5125,0.2508,0.1024,0.1015,0.0249,0.0027,0.0927,0.1802,0.0887,0.15,0.4,0.4889,0.5567,0.5763,0.458,0.6523,0.6528,0.6571,0.5426,0.6911,0.6803
59,0.5426,0.6829,0.6427,0.7283,0.6763,0.1254,0.0516,0.6564,0.723,0.0975,0.0488,0.6822,0.7398,0.0844,0.0422,0.6906,0.5238,0.49,0.2938,0.1284,0.0238,0.0229,0.0271,0.0467,0.051,0.0434,0.1005,0.2,0.4348,0.5412,0.4767,0.3965,0.6252,0.6402,0.6457,0.5022,0.7519,0.6775
60,0.5191,0.5179,0.5409,0.4888,0.5595,0.1365,0.0578,0.5377,0.4881,0.0957,0.0479,0.5221,0.4842,0.0732,0.0366,0.5285,0.5333,0.6825,0.2974,0.138,0.0463,0.0171,0.0146,0.0403,0.0659,0.0226,0.0261,0.0564,0.4079,0.5107,0.4697,0.3363,0.4735,0.4934,0.4989,0.4349,1.139,0.6766
61,0.6011,0.6398,0.7568,0.6188,0.6329,0.2157,0.0969,0.6169,0.6732,0.0881,0.044,0.6471,0.5158,0.2052,0.1026,0.645,0.4857,0.5875,0.249,0.103,0.1398,0.0361,0.0295,0.115,0.187,0.0732,0.0756,0.0583,0.495,0.5909,0.5846,0.4648,0.5588,0.6057,0.5656,0.5281,0.6784,0.6816
62,0.5819,0.705,0.7717,0.6749,0.6987,0.1374,0.0584,0.6919,0.7259,0.0483,0.0241,0.7094,0.6742,0.0499,0.0249,0.7115,0.5905,0.5475,0.2326,0.0985,0.0722,0.0281,0.0988,0.0818,0.1746,0.0331,0.2554,0.0892,0.4529,0.5711,0.4973,0.4436,0.6391,0.6818,0.6811,0.5514,0.6849,0.6812
63,0.6011,0.6939,0.763,0.7131,0.6829,0.1155,0.0476,0.6696,0.7274,0.0833,0.0417,0.701,0.6471,0.0777,0.0388,0.7011,0.5714,0.47,0.3331,0.1363,0.0788,0.0385,0.169,0.1182,0.1486,0.0842,0.2317,0.2157,0.5085,0.5858,0.5889,0.4918,0.6312,0.6559,0.6584,0.5126,0.6793,0.6733
64,0.6287,0.6995,0.6439,0.7037,0.7013,0.0854,0.0395,0.6825,0.7256,0.0615,0.0308,0.7001,0.776,0.1086,0.0543,0.7049,0.6095,0.55,0.2215,0.0912,0.1258,0.0916,0.2215,0.24,0.1287,0.1162,0.3605,0.2632,0.5732,0.6236,0.5864,0.5436,0.659,0.6707,0.6495,0.5619,0.65,0.6796
65,0.5074,0.6714,0.6663,0.6925,0.6885,0.0391,0.0172,0.6699,0.6726,0.004,0.002,0.6731,0.7376,0.096,0.048,0.6797,0.6857,0.63,0.083,0.0372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.6434,0.6696,0.6286,0.631,0.8188,0.673
66,0.6255,0.6906,0.7047,0.7036,0.6867,0.0261,0.0119,0.6778,0.7097,0.0462,0.0231,0.6917,0.7081,0.0238,0.0119,0.6927,0.4571,0.6,0.3412,0.1403,0.1108,0.0439,0.0144,0.1725,0.1456,0.0732,0.0664,0.3311,0.5554,0.617,0.5816,0.5417,0.6698,0.6692,0.6779,0.5207,0.647,0.6772
67,0.6053,0.6889,0.6266,0.7031,0.6882,0.1111,0.0481,0.6829,0.7,0.0249,0.0124,0.6924,0.6719,0.0297,0.0149,0.69,0.5619,0.6175,0.1859,0.0761,0.0493,0.0279,0.1623,0.1782,0.041,0.0434,0.1887,0.1667,0.5152,0.6034,0.5913,0.4976,0.6395,0.6773,0.6751,0.5744,0.7031,0.6714
68,0.6213,0.7002,0.6675,0.7119,0.6985,0.0634,0.0266,0.6915,0.7111,0.0279,0.014,0.7015,0.7511,0.0709,0.0354,0.7035,0.5619,0.535,0.2407,0.1056,0.1387,0.0355,0.1786,0.2436,0.1478,0.0743,0.2384,0.325,0.5757,0.6084,0.6024,0.4753,0.6693,0.6868,0.6654,0.5358,0.6538,0.6735
69,0.6617,0.7309,0.6948,0.7455,0.733,0.0694,0.0295,0.7221,0.744,0.03,0.015,0.7386,0.6561,0.1129,0.0564,0.7358,0.6857,0.655,0.1105,0.0455,0.1014,0.0138,0.1766,0.2927,0.0655,0.0424,0.3528,0.3093,0.6347,0.6458,0.5378,0.5013,0.6942,0.7152,0.6752,0.6491,0.6252,0.6687
70,0.5287,0.6472,0.7357,0.5908,0.657,0.2239,0.0915,0.652,0.6383,0.0212,0.0106,0.6447,0.7104,0.1015,0.0507,0.6494,0.6286,0.6425,0.0322,0.0134,0.034,0.0193,0.0204,0.0691,0.0973,0.0339,0.032,0.1022,0.4124,0.5241,0.4686,0.3662,0.5605,0.6384,0.6073,0.6311,0.8285,0.6699
71,0.6245,0.7172,0.7246,0.7107,0.7151,0.0194,0.0081,0.7049,0.7359,0.0431,0.0216,0.7159,0.8145,0.1374,0.0687,0.721,0.7619,0.59,0.2397,0.1022,0.1338,0.0455,0.0974,0.3782,0.0923,0.0867,0.213,0.6,0.5936,0.5995,0.6222,0.5044,0.7059,0.6957,0.6529,0.6101,0.6317,0.6687
72,0.5138,0.6867,0.7134,0.7151,0.6797,0.0516,0.0237,0.6612,0.7256,0.0938,0.0469,0.6852,0.7557,0.1026,0.0513,0.6911,0.6762,0.5275,0.2382,0.1075,0.0124,0.0047,0.0046,0.019,0.025,0.0057,0.0393,0.1429,0.4193,0.503,0.4474,0.3343,0.6465,0.6452,0.6415,0.5849,0.7059,0.672
73,0.5681,0.6935,0.6886,0.7093,0.6855,0.0343,0.0152,0.6809,0.7162,0.0508,0.0254,0.6983,0.6267,0.1032,0.0516,0.6936,0.5524,0.6975,0.2093,0.0974,0.0404,0.0243,0.0438,0.2145,0.0298,0.0353,0.0787,0.2583,0.4784,0.5532,0.5017,0.4291,0.6742,0.6699,0.6471,0.6055,0.6848,0.6581
74,0.5606,0.6255,0.7122,0.6577,0.6386,0.1177,0.0498,0.6418,0.598,0.07,0.035,0.6302,0.552,0.1249,0.0625,0.632,0.6762,0.65,0.0707,0.029,0.266,0.0656,0.1014,0.1284,0.3157,0.1064,0.1734,0.1882,0.4609,0.5445,0.488,0.3918,0.5527,0.5993,0.5802,0.5784,0.6888,0.6645
75,0.6128,0.6742,0.6898,0.6497,0.6906,0.0608,0.0284,0.6401,0.7254,0.1265,0.0633,0.679,0.6425,0.0541,0.0271,0.6828,0.4476,0.705,0.3817,0.1727,0.0929,0.0633,0.1785,0.26,0.1429,0.1029,0.2231,0.2779,0.5646,0.599,0.6032,0.5391,0.6381,0.6212,0.6505,0.5326,0.6537,0.6727
76,0.6489,0.7082,0.6898,0.7229,0.7066,0.0467,0.0191,0.6883,0.7353,0.0663,0.0332,0.7112,0.7172,0.0085,0.0043,0.7131,0.6095,0.6025,0.1561,0.0714,0.0725,0.0139,0.1184,0.1491,0.1279,0.0636,0.2124,0.1714,0.5947,0.6277,0.6174,0.6086,0.6845,0.6764,0.6997,0.5856,0.7026,0.6653
77,0.5191,0.6342,0.6129,0.6379,0.6595,0.0734,0.03,0.633,0.636,0.0047,0.0023,0.6417,0.509,0.2091,0.1046,0.65,0.4381,0.505,0.3341,0.1394,0.0192,0.0216,0.001,0.0455,0.0317,0.0234,0.0501,0.1429,0.4141,0.5085,0.4498,0.3265,0.6039,0.6323,0.5599,0.4729,0.8049,0.6642
78,0.6266,0.7073,0.7035,0.7253,0.7091,0.0308,0.0131,0.6712,0.7544,0.1176,0.0588,0.7058,0.7986,0.1313,0.0656,0.7118,0.6667,0.615,0.1368,0.0559,0.0646,0.0611,0.128,0.3182,0.1109,0.1047,0.2059,0.325,0.5392,0.5986,0.5473,0.4766,0.6909,0.6529,0.6472,0.6218,0.6622,0.6631
79,0.5904,0.7088,0.6253,0.6993,0.7159,0.1278,0.0555,0.6836,0.7453,0.0872,0.0436,0.7114,0.7172,0.0082,0.0041,0.7148,0.4952,0.5775,0.3097,0.1278,0.0307,0.0027,0.0943,0.1436,0.0613,0.046,0.1638,0.2065,0.4768,0.5606,0.5109,0.4,0.6443,0.6676,0.7011,0.5247,0.6507,0.6686
80,0.6457,0.6973,0.706,0.7303,0.6871,0.062,0.0254,0.6826,0.7192,0.0524,0.0262,0.6992,0.7127,0.0194,0.0097,0.7,0.5714,0.51,0.2725,0.1135,0.0974,0.0943,0.0727,0.1891,0.0862,0.1448,0.1466,0.225,0.587,0.6239,0.6191,0.5393,0.6629,0.6727,0.6855,0.5299,0.644,0.6735
81,0.5596,0.6939,0.732,0.6957,0.6911,0.059,0.0264,0.6661,0.7353,0.0997,0.0499,0.6966,0.733,0.0525,0.0263,0.701,0.6381,0.515,0.268,0.1113,0.0841,0.0134,0.1555,0.1218,0.1508,0.0345,0.2487,0.3286,0.4393,0.5586,0.4995,0.3855,0.6655,0.649,0.6661,0.5588,0.7266,0.6501
82,0.5894,0.6515,0.6141,0.6541,0.6656,0.079,0.0339,0.6325,0.6771,0.0684,0.0342,0.6509,0.7602,0.1678,0.0839,0.6514,0.7238,0.6775,0.1112,0.046,0.1874,0.003,0.2294,0.32,0.254,0.033,0.3712,0.5571,0.5242,0.5801,0.5411,0.4531,0.6181,0.6237,0.5873,0.5931,0.6629,0.6604
83,0.5564,0.6738,0.7072,0.6671,0.6831,0.0596,0.0245,0.6593,0.6951,0.0531,0.0266,0.6772,0.6561,0.0313,0.0156,0.6774,0.581,0.6975,0.173,0.0755,0.0232,0.0121,0.0457,0.1164,0.0653,0.0337,0.118,0.2857,0.4514,0.5561,0.4951,0.3941,0.6421,0.6505,0.6599,0.6016,0.8789,0.6639
84,0.567,0.6739,0.7506,0.6937,0.6717,0.1172,0.0494,0.6535,0.7025,0.0727,0.0364,0.6681,0.8801,0.3146,0.1573,0.6703,0.9333,0.665,0.3982,0.1859,0.0879,0.0089,0.0346,0.0164,0.1637,0.0426,0.1573,0.2307,0.4492,0.5606,0.4883,0.3879,0.6133,0.6424,0.556,0.5298,0.6883,0.6609
85,0.6447,0.6796,0.6737,0.6755,0.6764,0.0039,0.0016,0.6613,0.7103,0.0721,0.0361,0.6793,0.7421,0.0924,0.0462,0.6858,0.5619,0.495,0.2808,0.1163,0.0806,0.0567,0.1222,0.24,0.041,0.1014,0.1864,0.2913,0.6317,0.6244,0.6403,0.5776,0.6707,0.6478,0.6394,0.5194,0.6434,0.6695
86,0.5819,0.6332,0.6501,0.7149,0.6595,0.1023,0.0451,0.6235,0.6424,0.03,0.015,0.6372,0.6629,0.0406,0.0203,0.6429,0.6476,0.695,0.0822,0.0371,0.2794,0.0262,0.1773,0.2367,0.3687,0.0286,0.2011,0.3225,0.5058,0.5736,0.5816,0.5099,0.5629,0.6214,0.6126,0.5831,0.682,0.6681
87,0.633,0.7189,0.7333,0.7509,0.7161,0.0485,0.0198,0.6953,0.7562,0.0848,0.0424,0.7186,0.7896,0.0988,0.0494,0.7242,0.6,0.5975,0.1762,0.0823,0.1074,0.0717,0.1394,0.1691,0.1542,0.1146,0.2254,0.2,0.5777,0.6164,0.6066,0.5376,0.6853,0.6776,0.6713,0.5772,0.6503,0.6653
88,0.6191,0.7186,0.7593,0.7161,0.7175,0.0601,0.0279,0.6839,0.7668,0.1154,0.0577,0.7187,0.7805,0.0861,0.0431,0.7188,0.6762,0.655,0.0888,0.0369,0.0376,0.0155,0.0749,0.0962,0.0371,0.0562,0.1838,0.125,0.5454,0.6067,0.5595,0.5033,0.6881,0.6636,0.6767,0.6496,0.6529,0.6639
89,0.6649,0.7375,0.7543,0.7937,0.7305,0.0857,0.0353,0.7258,0.758,0.0437,0.0219,0.7405,0.7534,0.0175,0.0088,0.7467,0.5619,0.6675,0.2505,0.1026,0.0198,0.0507,0.1329,0.1945,0.0982,0.0832,0.2712,0.2456,0.5895,0.6553,0.6139,0.5994,0.6828,0.7144,0.7238,0.5877,0.6535,0.6518
89,0.6601,0.7302,0.7867,0.6715,0.732,0.1577,0.0644,0.7056,0.7608,0.0756,0.0378,0.7287,0.7597,0.0424,0.0212,0.7318,0.6705,0.6625,0.0949,0.0424,0.0873,0.0157,0.0763,0.1583,0.0962,0.0613,0.096,0.1199,0.6097,0.6362,0.6439,0.5848,0.6538,0.692,0.7083,0.6468,1.2924,0.6518
